Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-02-27,14.75,14.75,14.75,14.75,8
2023-02-28,14.75,14.75,14.75,14.75,0
2023-03-01,14.75,14.75,14.75,14.75,4
2023-03-02,14.75,14.75,14.75,14.75,0
2023-03-03,14.75,14.75,14.75,14.75,5
2023-03-06,14.75,14.75,14.75,14.75,5
2023-03-07,14.75,14.75,14.75,14.75,0
2023-03-08,14.75,14.75,14.75,14.75,0
2023-03-09,14.75,14.75,14.75,14.75,62438
2023-03-10,14.75,14.75,14.75,14.75,12
2023-03-13,14.75,14.75,14.75,14.75,2
2023-03-14,14.75,14.75,14.75,14.75,0
2023-03-15,14.75,14.75,14.75,14.75,8
2023-03-16,14.75,14.75,14.75,14.75,0
2023-03-17,14.75,14.75,14.75,14.75,0
2023-03-20,14.75,14.75,14.75,14.75,0
2023-03-21,14.75,14.75,14.75,14.75,0
2023-03-22,14.75,14.75,14.75,14.75,0
2023-03-23,14.75,14.75,14.75,14.75,0
2023-03-24,14.75,14.75,14.75,14.75,0
2023-03-27,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,100
2023-03-28,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,0
2023-03-29,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,8
2023-03-30,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,10359
2023-03-31,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,3451
2023-04-03,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-04,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-05,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-10,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-11,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-12,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-13,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-14,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-17,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-18,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-20,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-21,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-24,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-25,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-26,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,0
2023-04-27,15.4399995803833,15.4399995803833,15.4399995803833,15.4399995803833,44843
2023-04-28,15.4399995803833,15.4399995803833,15.4399995803833,15.4399995803833,13557
2023-05-02,15.4399995803833,15.4399995803833,15.4399995803833,15.4399995803833,10
2023-05-03,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,3
2023-05-04,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0
2023-05-05,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,62438
2023-05-08,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0
2023-05-09,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0
2023-05-10,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,16
2023-05-11,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0
2023-05-12,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0
2023-05-15,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0
2023-05-16,14.0,14.0,14.0,14.0,2
2023-05-17,14.0,14.0,14.0,14.0,2
2023-05-18,14.0,14.0,14.0,14.0,32
2023-05-19,14.0,14.0,14.0,14.0,0
2023-05-23,14.0,14.0,14.0,14.0,0
2023-05-24,14.0,14.0,14.0,14.0,0
2023-05-25,14.0,14.0,14.0,14.0,1
2023-05-26,14.0,14.0,14.0,14.0,151
2023-05-29,14.0,14.0,14.0,14.0,0
2023-05-30,14.0,14.0,14.0,14.0,25001
2023-05-31,14.0,14.0,14.0,14.0,0
2023-06-01,14.0,14.0,14.0,14.0,218
2023-06-02,14.0,14.0,14.0,14.0,0
2023-06-05,14.0,14.0,14.0,14.0,0
2023-06-06,14.0,14.0,14.0,14.0,0
2023-06-07,14.0,14.0,14.0,14.0,0
2023-06-08,14.0,14.0,14.0,14.0,0
2023-06-09,14.0,14.0,14.0,14.0,0
2023-06-13,14.0,14.0,14.0,14.0,0
2023-06-14,11.210000038146973,11.210000038146973,11.210000038146973,11.210000038146973,184
2023-06-15,12.0,12.0,12.0,12.0,224
2023-06-16,12.0,12.0,12.0,12.0,0
2023-06-20,12.0,12.0,12.0,12.0,0
2023-06-21,12.0,12.0,12.0,12.0,130
2023-06-22,12.0,12.0,12.0,12.0,0
2023-06-23,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,104
2023-06-26,11.5,11.5,11.5,11.5,90
2023-06-27,13.800000190734863,13.800000190734863,13.800000190734863,13.800000190734863,200
2023-06-28,15.0,15.0,15.0,15.0,150
2023-06-29,17.75,17.75,17.75,17.75,15065
2023-06-30,17.75,17.75,17.75,17.75,30
2023-07-04,17.75,17.75,17.75,17.75,21
2023-07-06,17.75,17.75,17.75,17.75,0
2023-07-07,17.0,17.0,17.0,17.0,8
2023-07-10,17.489999771118164,17.489999771118164,17.489999771118164,17.489999771118164,16
2023-07-11,17.489999771118164,17.489999771118164,17.489999771118164,17.489999771118164,0
2023-07-12,17.489999771118164,17.489999771118164,17.489999771118164,17.489999771118164,0
2023-07-13,17.0,17.0,17.0,17.0,10
2023-07-14,17.0,17.0,17.0,17.0,62438
2023-07-17,17.0,17.0,17.0,17.0,40
2023-07-18,17.0,17.0,17.0,17.0,10
2023-07-19,17.0,17.0,17.0,17.0,11
2023-07-20,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,1
2023-07-21,16.75,16.75,16.75,16.75,1
2023-07-25,16.75,16.75,16.75,16.75,0
2023-07-26,16.75,16.75,16.75,16.75,0
2023-07-27,16.75,16.75,16.75,16.75,4706
2023-07-28,16.75,16.75,16.75,16.75,0
2023-07-31,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,5
2023-08-01,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,140
2023-08-02,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0
2023-08-03,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0
2023-08-04,17.0,17.0,17.0,17.0,47
2023-08-07,17.0,17.0,17.0,17.0,0
2023-08-08,17.0,17.0,17.0,17.0,0
2023-08-09,17.0,17.0,17.0,17.0,10
2023-08-10,17.0,17.0,17.0,17.0,140
2023-08-11,17.0,17.0,17.0,17.0,0
2023-08-15,17.0,17.0,17.0,17.0,0
2023-08-16,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,7
2023-08-17,20.0,20.0,20.0,20.0,1
2023-08-18,20.0,20.0,20.0,20.0,7
2023-08-21,20.0,20.0,20.0,20.0,63
2023-08-22,22.0,22.0,22.0,22.0,8
2023-08-23,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,5
2023-08-24,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,7
2023-08-25,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,0
2023-08-28,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,10
2023-08-29,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,0
2023-08-30,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,0
2023-08-31,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,0
2023-09-01,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,0
2023-09-04,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,37
2023-09-05,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,15
2023-09-06,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-07,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-08,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-12,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-13,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-14,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-15,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,3
2023-09-18,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2023-09-19,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,120
2023-09-20,21.780000686645508,21.780000686645508,21.780000686645508,21.780000686645508,2
2023-09-21,21.780000686645508,21.780000686645508,21.780000686645508,21.780000686645508,0
2023-09-22,21.780000686645508,21.780000686645508,21.780000686645508,21.780000686645508,0
2023-09-25,21.780000686645508,21.780000686645508,21.780000686645508,21.780000686645508,0
2023-09-26,21.780000686645508,21.780000686645508,21.780000686645508,21.780000686645508,0
2023-09-27,21.780000686645508,21.780000686645508,21.780000686645508,21.780000686645508,1294
2023-09-28,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,4810
2023-09-29,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,1000
2023-10-02,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,418
2023-10-03,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,4007
2023-10-04,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,63
2023-10-05,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,18
2023-10-06,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,687
2023-10-09,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,0
2023-10-10,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,0
2023-10-11,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,35
2023-10-13,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,0
2023-10-16,16.899999618530273,16.899999618530273,16.899999618530273,16.899999618530273,45
2023-10-17,16.899999618530273,16.899999618530273,16.899999618530273,16.899999618530273,0
2023-10-18,20.0,20.0,20.0,20.0,23
2023-10-19,21.989999771118164,21.989999771118164,21.989999771118164,21.989999771118164,126
2023-10-20,25.0,25.0,25.0,25.0,7
2023-10-23,26.350000381469727,26.350000381469727,26.350000381469727,26.350000381469727,47
2023-10-24,27.0,27.0,27.0,27.0,20
2023-10-25,27.0,27.0,27.0,27.0,96
2023-10-26,27.0,27.0,27.0,27.0,62450
2023-10-27,27.0,27.0,27.0,27.0,0
2023-10-31,27.0,27.0,27.0,27.0,5000
2023-11-01,27.0,27.0,27.0,27.0,0
2023-11-02,27.0,27.0,27.0,27.0,0
2023-11-03,27.0,27.0,27.0,27.0,0
2023-11-07,27.0,27.0,27.0,27.0,0
2023-11-08,27.0,27.0,27.0,27.0,0
2023-11-09,27.0,27.0,27.0,27.0,0
2023-11-10,27.0,27.0,27.0,27.0,0
2023-11-13,32.0,32.0,32.0,32.0,1
2023-11-14,32.0,32.0,32.0,32.0,0
2023-11-15,32.0,32.0,32.0,32.0,0
2023-11-16,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,97
2023-11-17,29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,12
2023-11-20,29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,0
2023-11-21,29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,0
2023-11-22,29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,0
2023-11-23,29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,0
2023-11-24,29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,0
2023-11-27,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,1500
2023-11-28,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,0
2023-11-29,28.850000381469727,28.850000381469727,28.850000381469727,28.850000381469727,30
2023-11-30,28.850000381469727,28.850000381469727,28.850000381469727,28.850000381469727,0
2023-12-01,28.850000381469727,28.850000381469727,28.850000381469727,28.850000381469727,0
2023-12-04,28.850000381469727,28.850000381469727,28.850000381469727,28.850000381469727,0
2023-12-05,34.5,34.5,34.5,34.5,1
2023-12-06,29.0,29.0,29.0,29.0,182000
2023-12-07,29.0,29.0,29.0,29.0,20
2023-12-08,29.0,29.0,29.0,29.0,0
2023-12-12,29.0,29.0,29.0,29.0,0
2023-12-13,29.0,29.0,29.0,29.0,0
2023-12-14,29.0,29.0,29.0,29.0,0
2023-12-15,34.5,34.5,34.5,34.5,10
