Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,12.2,12.2,12.2,12.2,0
2023-03-08,12.2,12.2,12.2,12.2,0
2023-03-09,12.2,12.2,12.2,12.2,0
2023-03-10,12.2,12.2,12.2,12.2,0
2023-03-13,12.2,12.2,12.2,12.2,0
2023-03-14,12.2,12.2,12.2,12.2,0
2023-03-15,12.2,12.2,12.2,12.2,0
2023-03-16,12.2,12.2,12.2,12.2,0
2023-03-17,12.2,12.2,12.2,12.2,0
2023-03-20,12.2,12.2,12.2,12.2,0
2023-03-21,12.2,12.2,12.2,12.2,0
2023-03-22,12.2,12.2,12.2,12.2,0
2023-03-23,12.2,12.2,12.2,12.2,0
2023-03-24,12.2,12.2,12.2,12.2,990
2023-03-27,12.2,12.2,12.2,12.2,0
2023-03-28,12.2,12.2,12.2,12.2,0
2023-03-29,12.2,12.2,12.2,12.2,0
2023-03-30,12.2,12.2,12.2,12.2,0
2023-03-31,12.2,12.2,12.2,12.2,0
2023-04-03,12.2,12.2,12.2,12.2,0
2023-04-04,12.2,12.2,12.2,12.2,0
2023-04-05,12.2,12.2,12.2,12.2,0
2023-04-10,12.2,12.2,12.2,12.2,0
2023-04-11,12.2,12.2,12.2,12.2,0
2023-04-12,12.2,12.2,12.2,12.2,0
2023-04-13,12.2,12.2,12.2,12.2,0
2023-04-14,12.2,12.2,12.2,12.2,0
2023-04-17,12.2,12.2,12.2,12.2,0
2023-04-18,12.2,12.2,12.2,12.2,0
2023-04-20,12.2,12.2,12.2,12.2,0
2023-04-21,12.2,12.2,12.2,12.2,0
2023-04-24,13.0,13.0,13.0,13.0,6196
2023-04-25,13.0,13.0,13.0,13.0,0
2023-04-26,13.0,13.0,13.0,13.0,0
2023-04-27,13.0,13.0,13.0,13.0,0
2023-04-28,13.0,13.0,13.0,13.0,0
2023-05-02,13.0,13.0,13.0,13.0,0
2023-05-03,13.0,13.0,13.0,13.0,0
2023-05-04,13.0,13.0,13.0,13.0,0
2023-05-05,13.0,13.0,13.0,13.0,0
2023-05-08,13.0,13.0,13.0,13.0,0
2023-05-09,13.0,13.0,13.0,13.0,0
2023-05-10,13.0,13.0,13.0,13.0,0
2023-05-11,13.0,13.0,13.0,13.0,0
2023-05-12,13.0,13.0,13.0,13.0,0
2023-05-15,13.0,13.0,13.0,13.0,0
2023-05-16,13.0,13.0,13.0,13.0,0
2023-05-17,13.0,13.0,13.0,13.0,0
2023-05-18,13.0,13.0,13.0,13.0,0
2023-05-19,13.0,13.0,13.0,13.0,0
2023-05-23,13.0,13.0,13.0,13.0,0
2023-05-24,13.0,13.0,13.0,13.0,0
2023-05-25,14.0,14.0,14.0,14.0,14
2023-05-26,14.0,14.0,14.0,14.0,0
